Date,Open,High,Low,Close,Volume
12/29/2005 15:30:00,211.25,214.99,210.21,213.76,432723
12/30/2005 15:30:00,210,214.99,210,212.86,297531
1/2/2006 15:30:00,213.5,213.86,210.17,210.95,206688
1/3/2006 15:30:00,210.66,217.49,210.25,216.65,424617
1/4/2006 15:30:00,217.5,218.74,215.28,217.89,443202
1/5/2006 15:30:00,218.13,218.25,215.24,216.55,178978
1/6/2006 15:30:00,216.88,217.49,211.5,213.2,370718
1/9/2006 15:30:00,213.77,216.25,210.13,211.12,485409
1/10/2006 15:30:00,211.25,212.48,207.63,209.06,496581
1/12/2006 15:30:00,206.63,211.13,201.88,209.21,1739962
1/13/2006 15:30:00,210,211.25,205.5,206.47,451071
1/16/2006 15:30:00,206.38,206.38,200.32,201.1,600614
1/17/2006 15:30:00,201.38,205,201.25,202.93,469132
1/18/2006 15:30:00,202.28,202.98,200.26,202.45,395640
1/19/2006 15:30:00,202.98,206.84,202.98,206.3,446841
1/20/2006 15:30:00,206.88,208.73,204.38,205.5,411780
1/23/2006 15:30:00,204.38,204.38,201.41,202.77,285034
1/24/2006 15:30:00,204.38,206.13,203.8,205.33,236258
1/25/2006 15:30:00,206.13,207.49,205.44,206.4,795717
1/27/2006 15:30:00,210,210,206.33,207.4,375477
1/30/2006 15:30:00,208.18,209.95,206.51,207.36,172893
1/31/2006 15:30:00,209.95,209.95,206.55,208.8,187895
2/1/2006 15:30:00,207,209.75,206.3,208.33,487087
2/2/2006 15:30:00,208.75,209.5,203.71,204.6,391967
2/3/2006 15:30:00,204.99,205.98,201.55,203.85,544690
2/6/2006 15:30:00,203.74,210.38,203.3,209.88,361872
2/7/2006 15:30:00,210,211.69,205.53,209.26,875348
2/8/2006 15:30:00,208.25,209.01,206.55,207.81,416581
2/10/2006 15:30:00,208.77,209.75,205.63,208.7,341025
2/13/2006 15:30:00,208.7,208.75,206,206.38,252568
2/14/2006 15:30:00,208.75,208.75,201.75,202.32,870258
2/15/2006 15:30:00,205.99,205.99,200.63,202.42,526165
2/16/2006 15:30:00,203.13,204.98,201.5,203.65,660561
2/17/2006 15:30:00,206.25,207.05,202.5,203.13,365431
2/20/2006 15:30:00,204.88,206.88,203.43,206.23,330451
2/21/2006 15:30:00,206.88,208.88,206.39,208.25,287655
2/22/2006 15:30:00,208.75,208.75,206.41,207.73,144574
2/23/2006 15:30:00,207.5,211.24,207.5,208.82,517698
2/24/2006 15:30:00,208.78,210,207.04,208.76,137167
2/27/2006 15:30:00,208.38,211.88,208.3,211.3,315139
2/28/2006 15:30:00,211.88,213,208.75,212.6,352718
3/1/2006 15:30:00,212.5,218.18,210.91,217.53,563269
3/2/2006 15:30:00,218.18,219.25,215.05,217.73,409712
3/3/2006 15:30:00,217.75,217.75,212.17,213.22,265555
3/6/2006 15:30:00,214.5,219.13,213.75,218.04,453948
3/7/2006 15:30:00,217.52,218.75,215,215.59,248146
3/8/2006 15:30:00,216.5,217.5,213.13,215.32,476686
3/9/2006 15:30:00,215,216,211.25,215.61,582839
3/10/2006 15:30:00,211.5,221.88,211.25,220.46,804368
3/13/2006 15:30:00,221.73,230.95,221.73,228.58,897319
3/14/2006 15:30:00,228.11,228.46,223.89,225.4,434682
3/16/2006 15:30:00,227.13,229.99,225.79,229.43,575008
3/17/2006 15:30:00,230,235.06,230,232.63,741530
3/20/2006 15:30:00,234.25,239.38,233.19,238.5,876609
3/21/2006 15:30:00,238.5,241.88,237.33,239.4,662673
3/22/2006 15:30:00,240,240,235.15,236.67,640146
3/23/2006 15:30:00,237.5,239.88,233.53,234.28,330561
3/24/2006 15:30:00,235.88,238.13,233.63,236.43,364673
3/27/2006 15:30:00,236.88,238.75,235.7,236.37,366054
3/28/2006 15:30:00,237.5,238.88,235.13,235.95,468909
3/29/2006 15:30:00,234.88,237.86,233.38,237.27,535537
3/30/2006 15:30:00,237.86,251.25,237.86,246.01,723021
3/31/2006 15:30:00,244.74,244.74,238.75,239.44,365021
4/3/2006 15:30:00,240.88,244.5,240,243.85,388209
4/4/2006 15:30:00,243.8,245,242.51,243.57,371451
4/5/2006 15:30:00,243.76,245.65,240,241.51,347116
4/7/2006 15:30:00,243.5,249.63,234.38,236.16,923195
4/10/2006 15:30:00,237.5,239.99,235,236.76,879305
4/12/2006 15:30:00,237.28,237.5,220.38,222.6,1644672
4/13/2006 15:30:00,225.63,228.71,221.25,224.65,1075209
4/17/2006 15:30:00,228.13,238.88,226.91,238.32,1211094
4/18/2006 15:30:00,247.25,261,247.25,251.19,1847311
4/19/2006 15:30:00,253.63,256.25,249.75,251.6,1225414
4/20/2006 15:30:00,252.49,253.12,246.88,248.74,787118
4/21/2006 15:30:00,250,253.75,245.63,249.88,621625
4/24/2006 15:30:00,249.75,249.96,245.63,247.41,654351
4/25/2006 15:30:00,247.49,247.49,237.38,240.87,712776
4/26/2006 15:30:00,241,244.5,238.75,242.8,883892
4/27/2006 15:30:00,242.8,250.38,241.25,243.23,895606
4/28/2006 15:30:00,238.38,248.88,228.8,247.26,661545
5/2/2006 15:30:00,248,253.05,247.5,251.65,779910
5/3/2006 15:30:00,253,254.99,251.88,253.95,393520
5/4/2006 15:30:00,253.5,257.24,252.66,255.46,491228
5/5/2006 15:30:00,256.88,256.88,249.38,250.83,338815
5/8/2006 15:30:00,252.63,261.5,251.25,252.43,185589
5/9/2006 15:30:00,254,255.55,250.63,253.11,225049
5/10/2006 15:30:00,255.55,255.88,250.29,252.71,247274
5/11/2006 15:30:00,253.66,253.66,250.68,252.34,245503
5/12/2006 15:30:00,251.38,253.11,246.29,249.52,347142
5/15/2006 15:30:00,247.5,250.13,240,245.11,504313
5/16/2006 15:30:00,244.99,249.38,239.98,246.84,333946
5/17/2006 15:30:00,249.38,252.5,248.75,252.07,167921
5/18/2006 15:30:00,248.75,249.99,237.5,240.71,567795
5/19/2006 15:30:00,243.75,244.98,231.44,236.55,608527
5/22/2006 15:30:00,240,240,218,222.56,587427
5/23/2006 15:30:00,225,234.25,212.63,228.78,673517
5/24/2006 15:30:00,233.75,235,220,223.83,713196
5/25/2006 15:30:00,222.5,237.3,218.13,234.62,729881
5/26/2006 15:30:00,236.25,237.5,230.13,233.3,276023
5/29/2006 15:30:00,233.13,233.13,230.04,231.32,350336
5/30/2006 15:30:00,233.13,236.89,229.38,232.55,564507
5/31/2006 15:30:00,230.14,230.14,216.25,222.86,721232
